id,Correct
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,0
